required,,,,,,,,,,,,,,,,,,,,not required
sample,foldername,peak_assignment,hplc_machine,peaks_manual,peaks_autofitting,background_substraction,setting_background_substraction,fitting_boundaries,time_window,concentration,unit,concentration_lactose,unit_lactose,concentration_maltose,unit_maltose,concentration_glucose,unit_glucose,concentration_succinate,unit_succinate,notes
Sep 15th output015,Stan_Formate_calibration,,Shimadzu_ProminenceLC2030C,[],TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",0,mM,,,,,,,,,
Sep 15th output016,Stan_Formate_calibration,,Shimadzu_ProminenceLC2030C,[],TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",0,mM,,,,,,,,,
Sep 15th output017,Stan_Formate_calibration,,Shimadzu_ProminenceLC2030C,[],TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",0,mM,,,,,,,,,
Sep 15th output018,Stan_Formate_calibration,,Shimadzu_ProminenceLC2030C,[],TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",0,mM,,,,,,,,,
230718_glu10_mal5_scfa5,Stan_calibration_water_scfa_glu_mal_2.5mM,,Shimadzu_ProminenceLC2030C,"[17,17.5, 18.7,19.7,21,21.5,23,25]",TRUE,FALSE,10,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",5,mM,,,,,10,mM,,,
230718_glu15_mal8_scfa8,Stan_calibration_water_scfa_glu_mal_2.5mM,,Shimadzu_ProminenceLC2030C,"[17,17.5, 18.7,19.7,21,21.5,23,25]",TRUE,FALSE,10,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",8,mM,,,,,15,mM,,,
230718_glu1_mal0.5_scfa0.5,Stan_calibration_water_scfa_glu_mal_2.5mM,,Shimadzu_ProminenceLC2030C,"[17,17.5, 18.7,19.7,21,21.5,23,25]",TRUE,FALSE,10,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",0.5,mM,,,,,1,mM,,,
230718_glu20_mal10_scfa10,Stan_calibration_water_scfa_glu_mal_2.5mM,,Shimadzu_ProminenceLC2030C,"[17,17.5, 18.7,19.7,21,21.5,23,25]",TRUE,FALSE,10,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",10,mM,,,,,20,mM,,,
230718_glu3_mal1_scfa1,Stan_calibration_water_scfa_glu_mal_2.5mM,,Shimadzu_ProminenceLC2030C,"[17,17.5, 18.7,19.7,21,21.5,23,25]",TRUE,FALSE,10,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",1,mM,,,,,3,mM,,,
230718_glu5_mal3_scfa3,Stan_calibration_water_scfa_glu_mal_2.5mM,,Shimadzu_ProminenceLC2030C,"[17,17.5, 18.7,19.7,21,21.5,23,25]",TRUE,FALSE,10,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",3,mM,,,,,5,mM,nan,mM,
lactate_12.5mM,lactate_calibration_water,,Shimadzu_ProminenceLC2030C,[],TRUE,FALSE,10,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",12.5,mM,,,,,,,,,
lactate_25mM,lactate_calibration_water,,Shimadzu_ProminenceLC2030C,[],TRUE,FALSE,10,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",25,mM,,,,,,,,,
lactate_37.5mM,lactate_calibration_water,,Shimadzu_ProminenceLC2030C,[],TRUE,FALSE,10,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",37.5,mM,,,,,,,,,
lactate_50mM,lactate_calibration_water,,Shimadzu_ProminenceLC2030C,[],TRUE,FALSE,10,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",50,mM,,,,,,,,,
Mar 21 output cal002,Stan_succinate_calibration_epsilon,,Shimadzu_ProminenceLC2030C,[],TRUE,FALSE,11,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",0.5,mM,,,,,,,,,
Mar 21 output cal003,Stan_succinate_calibration_epsilon,,Shimadzu_ProminenceLC2030C,[],TRUE,FALSE,12,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",1,mM,,,,,,,,,
Mar 21 output cal004,Stan_succinate_calibration_epsilon,,Shimadzu_ProminenceLC2030C,[],TRUE,FALSE,13,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",2,mM,,,,,,,,,
Mar 21 output cal005,Stan_succinate_calibration_epsilon,,Shimadzu_ProminenceLC2030C,[],TRUE,FALSE,14,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",3,mM,,,,,,,,,
Mar 21 output cal006,Stan_succinate_calibration_epsilon,,Shimadzu_ProminenceLC2030C,[],TRUE,FALSE,15,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",5,mM,,,,,,,,,
230802_lactate_1mM,stan_water_230802_lactate_2.5mM,,Shimadzu_ProminenceLC2030C,[],TRUE,FALSE,16,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,30]",1,mM,,,,,,,,,
230802_lactate_3mM,stan_water_230802_lactate_2.5mM,,Shimadzu_ProminenceLC2030C,[],TRUE,FALSE,17,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,30]",3,mM,,,,,,,,,
230802_lactate_5mM,stan_water_230802_lactate_2.5mM,,Shimadzu_ProminenceLC2030C,[],TRUE,FALSE,18,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,30]",5,mM,,,,,,,,,
230802_lactate_8mM,stan_water_230802_lactate_2.5mM,,Shimadzu_ProminenceLC2030C,[],TRUE,FALSE,19,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,30]",8,mM,,,,,,,,,
230802_lactate_10mM,stan_water_230802_lactate_2.5mM,,Shimadzu_ProminenceLC2030C,[],TRUE,FALSE,20,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,30]",10,mM,,,,,,,,,
230802_succinate_1mM,stan_water_230802_succinate_2.5mM,,Shimadzu_ProminenceLC2030C,[],TRUE,FALSE,21,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,30]",1,mM,,,,,,,,,
230802_succinate_3mM,stan_water_230802_succinate_2.5mM,,Shimadzu_ProminenceLC2030C,[],TRUE,FALSE,22,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,30]",3,mM,,,,,,,,,
230802_succinate_5mM,stan_water_230802_succinate_2.5mM,,Shimadzu_ProminenceLC2030C,[],TRUE,FALSE,23,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,30]",5,mM,,,,,,,,,
230802_succinate_8mM,stan_water_230802_succinate_2.5mM,,Shimadzu_ProminenceLC2030C,[],TRUE,FALSE,24,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,30]",8,mM,,,,,,,,,
230802_succinate_10mM,stan_water_230802_succinate_2.5mM,,Shimadzu_ProminenceLC2030C,[],TRUE,FALSE,25,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,30]",10,mM,,,,,,,,,
230804_lactate_1mM,stan_water_230804_lactate_2.5mM,,Shimadzu_ProminenceLC2030C,[],TRUE,FALSE,26,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,30]",1,mM,,,,,,,,,
230804_lactate_3mM,stan_water_230804_lactate_2.5mM,,Shimadzu_ProminenceLC2030C,[],TRUE,FALSE,27,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,30]",3,mM,,,,,,,,,
230804_lactate_5mM,stan_water_230804_lactate_2.5mM,,Shimadzu_ProminenceLC2030C,[],TRUE,FALSE,28,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,30]",5,mM,,,,,,,,,
230804_lactate_8mM,stan_water_230804_lactate_2.5mM,,Shimadzu_ProminenceLC2030C,[],TRUE,FALSE,29,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,30]",8,mM,,,,,,,,,
230804_lactate_10mM,stan_water_230804_lactate_2.5mM,,Shimadzu_ProminenceLC2030C,[],TRUE,FALSE,30,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,30]",10,mM,,,,,,,,,
