,sample
1051,SAMEA7045890
1052,SAMEA7045891
1053,SAMEA7045892
1054,SAMEA7045893
1055,SAMEA7045894
1056,SAMEA7045895
1057,SAMEA7045896
1058,SAMEA7045897
1059,SAMEA7045898
1060,SAMEA7045899
1061,SAMEA7045900
1062,SAMEA7045901
1063,SAMEA7045902
1064,SAMEA7045903
1065,SAMEA7045904
1066,SAMEA7045905
1067,SAMEA7045906
1068,SAMEA7045907
1069,SAMEA7045908
1070,SAMEA7045909
1071,SAMEA7045910
1072,SAMEA7045911
1073,SAMEA7045912
1074,SAMEA7045913
1075,SAMEA7045914
1076,SAMEA7045915
1077,SAMEA7045916
1078,SAMEA7045917
1079,SAMEA7045919
1080,SAMEA7045920
1081,SAMEA7045921
1082,SAMEA7045922
1083,SAMEA7045923
1084,SAMEA7045924
1085,SAMEA7045925
1086,SAMEA7045926
1087,SAMEA7045927
1088,SAMEA7045928
1089,SAMEA7045929
1090,SAMEA7045930
1091,SAMEA7045931
1092,SAMEA7045932
1093,SAMEA7045933
1094,SAMEA7045934
1095,SAMEA7045935
1096,SAMEA7045936
1097,SAMEA7045937
1098,SAMEA7045938
1099,SAMEA7045939
1100,SAMEA7045940
1101,SAMEA7045941
1102,SAMEA7045942
1103,SAMEA7045943
1104,SAMEA7045944
1105,SAMEA7045945
1106,SAMEA7045946
1107,SAMEA7045947
1108,SAMEA7045948
1109,SAMEA7045949
1110,SAMEA7045950
1111,SAMEA7045951
1112,SAMEA7045952
1113,SAMEA7045953
1114,SID10_B
1115,SID10_M
1116,SID10_4M
1117,SID10_12M
1118,SID45_B
1119,SID45_4M
1120,SID45_12M
1121,SID45_M
1122,SID53_B
1123,SID53_4M
1124,SID53_12M
1125,SID53_M
1126,SID82_B
1127,SID82_4M
1128,SID82_12M
1129,SID82_M
1130,SID137_B
1131,SID137_4M
1132,SID137_12M
1133,SID137_M
1134,SID332_B
1135,SID332_4M
1136,SID332_12M
1137,SID332_M
1138,SID549_B
1139,SID549_4M
1140,SID549_12M
1141,SID549_M
1142,SID582_B
1143,SID582_4M
1144,SID582_12M
1145,SID582_M
1146,SID103_B
1147,SID103_4M
1148,SID103_12M
1149,SID103_M
1150,SID12_B
1151,SID12_4M
1152,SID12_12M
1153,SID12_M
1154,SID150_B
1155,SID150_4M
1156,SID150_12M
1157,SID150_M
1158,SID172_B
1159,SID172_4M
1160,SID172_12M
1161,SID172_M
1162,SID18_B
1163,SID18_4M
1164,SID18_12M
1165,SID18_M
1166,SID263_B
1167,SID263_4M
1168,SID263_12M
1169,SID263_M
1170,SID272_B
1171,SID272_4M
1172,SID272_12M
1173,SID272_M
1174,SID179_B
1175,SID179_4M
1176,SID179_12M
1177,SID179_M
1178,SID350_4M
1179,SID350_12M
1180,SID350_M
1181,SID42_B
1182,SID42_4M
1183,SID42_12M
1184,SID42_M
1185,SID572_B
1186,SID572_4M
1187,SID572_12M
1188,SID572_M
1189,SID587_B
1190,SID587_4M
1191,SID587_12M
1192,SID587_M
1193,SID589_B
1194,SID589_4M
1195,SID589_12M
1196,SID589_M
1197,SID598_B
1198,SID598_4M
1199,SID598_12M
1200,SID598_M
1201,SID599_B
1202,SID599_4M
1203,SID599_12M
1204,SID599_M
1205,SID608_B
1206,SID608_4M
1207,SID608_12M
1208,SID608_M
1209,SID70_B
1210,SID70_4M
1211,SID70_12M
1212,SID70_M
1213,SID87_B
1214,SID87_4M
1215,SID87_12M
1216,SID87_M
1217,SID1_B
1218,SID1_4M
1219,SID1_12M
1220,SID1_M
1221,SID105_B
1222,SID105_4M
1223,SID105_M
1224,SID128_B
1225,SID128_4M
1226,SID128_12M
1227,SID128_M
1228,SID133_B
1229,SID133_4M
1230,SID133_12M
1231,SID133_M
1232,SID181_B
1233,SID181_4M
1234,SID181_12M
1235,SID181_M
1236,SID184_B
1237,SID184_4M
1238,SID184_12M
1239,SID184_M
1240,SID195_B
1241,SID195_4M
1242,SID195_12M
1243,SID195_M
1244,SID201_B
1245,SID201_4M
1246,SID201_12M
1247,SID201_M
1248,SID224_B
1249,SID224_4M
1250,SID224_12M
1251,SID224_M
1252,SID229_B
1253,SID229_4M
1254,SID229_12M
1255,SID229_M
1256,SID238_B
1257,SID238_4M
1258,SID238_12M
1259,SID238_M
1260,SID241_B
1261,SID241_4M
1262,SID241_12M
1263,SID241_M
1264,SID244_B
1265,SID244_4M
1266,SID244_12M
1267,SID244_M
1268,SID256_B
1269,SID256_4M
1270,SID256_12M
1271,SID256_M
1272,SID258_B
1273,SID258_4M
1274,SID258_12M
1275,SID258_M
1276,SID265_B
1277,SID265_4M
1278,SID265_12M
1279,SID265_M
1280,SID268_B
1281,SID268_4M
1282,SID268_12M
1283,SID268_M
1284,SID274_B
1285,SID274_4M
1286,SID274_12M
1287,SID274_M
1288,SID276_B
1289,SID276_4M
1290,SID276_12M
1291,SID276_M
1292,SID281_B
1293,SID281_4M
1294,SID281_12M
1295,SID281_M
1296,SID335_B
1297,SID335_4M
1298,SID335_12M
1299,SID335_M
1300,SID338_B
1301,SID338_4M
